problem, AC, PE, WA, TLE, MLE, OLE, RE, CE, TR, Total , C, C++, Java
A, 34, 59, 5, 4, 1, 8, 22, 133, 1, 61, 71
B, 34, 26, 16, 4, 6, 86, 34, 52
C, 34, 23, 10, 12, 79, 29, 50
D, 30, 34, 3, 1, 1, 17, 4, 90, 1, 55, 34
E, 27, 25, 3, 3, 13, 1, 72, 27, 45
F, 31, 76, 2, 3, 4, 116, 2, 48, 66
G, 26, 54, 1, 9, 5, 95, 58, 37
Total, 216, 297, 39, 8, 3, 66, 42, 671, 4, 312, 355
