problem, AC, PE, WA, TLE, MLE, OLE, RE, CE, TR, Total , C, C++, Java
A, 284, 2, 205, 20, 20, 39, 138, 708, 13, 109, 586
B, 296, 2, 117, 244, 4, 146, 68, 877, 9, 108, 760
C, 265, 1, 459, 58, 20, 11, 176, 72, 1062, 2, 164, 896
D, 252, 1, 1633, 207, 18, 10, 53, 115, 1, 2290, 21, 329, 1940
E, 219, 13, 939, 460, 8, 16, 432, 131, 2218, 2, 269, 1947
F, 240, 1, 600, 13, 5, 67, 55, 981, 176, 805
Total, 1556, 20, 3953, 982, 66, 66, 913, 579, 1, 8136, 47, 1155, 6934
