problem, AC, PE, WA, TLE, MLE, OLE, RE, CE, TR, Total , C, C++, Java
A, 277, 1, 360, 339, 1, 14, 187, 90, 1269, 22, 404, 843
B, 247, 1, 239, 339, 7, 74, 108, 1015, 32, 148, 835
C, 229, 197, 271, 29, 104, 117, 44, 991, 31, 111, 849
D, 242, 1, 364, 500, 16, 50, 64, 62, 1299, 11, 239, 1049
E, 166, 73, 381, 602, 13, 492, 369, 76, 2172, 42, 405, 1725
F, 141, 1, 129, 400, 27, 13, 203, 37, 951, 3, 253, 695
Total, 1302, 77, 1670, 2451, 86, 680, 1014, 417, 7697, 141, 1560, 5996
