problem, AC, PE, WA, TLE, MLE, OLE, RE, CE, TR, Total , C, C++, Java
A, 226, 201, 44, 7, 3, 58, 51, 590, 20, 139, 431
B, 300, 1, 83, 107, 9, 23, 33, 556, 6, 112, 438
C, 231, 4, 48, 11, 5, 16, 165, 28, 508, 2, 76, 430
D, 232, 10, 248, 12, 11, 118, 24, 655, 10, 115, 530
E, 182, 5, 402, 122, 7, 58, 307, 54, 1137, 6, 214, 917
F, 183, 3, 536, 244, 57, 2, 337, 42, 1404, 2, 251, 1151
Total, 1354, 23, 1518, 540, 85, 90, 1008, 232, 4850, 46, 907, 3897
