problem, AC, PE, WA, TLE, MLE, OLE, RE, CE, TR, Total , C, C++, Java
A, 33, 15, 3, 1, 3, 55, 3, 28, 24
B, 41, 5, 9, 1, 6, 3, 65, 39, 26
C, 36, 1, 9, 1, 6, 5, 58, 4, 32, 22
D, 27, 13, 2, 12, 4, 58, 1, 25, 32
E, 42, 47, 7, 2, 1, 14, 7, 120, 53, 67
F, 34, 41, 14, 3, 1, 29, 8, 130, 62, 68
G, 43, 57, 13, 11, 6, 130, 64, 66
Total, 256, 1, 187, 47, 6, 4, 79, 36, 616, 8, 303, 305
