problem, AC, PE, WA, TLE, MLE, OLE, RE, CE, TR, Total , C, C++, Java
A, 32, 9, 5, 13, 59, 3, 27, 29
B, 36, 3, 15, 1, 11, 6, 72, 42, 30
C, 26, 26, 1, 10, 9, 72, 27, 45
D, 46, 83, 22, 1, 11, 25, 188, 1, 92, 95
E, 28, 93, 38, 1, 27, 15, 202, 62, 140
F, 26, 36, 1, 6, 7, 76, 1, 22, 53
G, 28, 108, 2, 6, 5, 20, 169, 1, 73, 95
Total, 222, 358, 78, 7, 3, 75, 95, 838, 6, 345, 487
