problem, AC, PE, WA, TLE, MLE, OLE, RE, CE, TR, Total , C, C++, Java
A, 27, 5, 1, 4, 37, 1, 20, 16
B, 32, 8, 7, 4, 5, 56, 1, 31, 24
C, 38, 1, 8, 31, 8, 4, 90, 1, 48, 41
D, 38, 20, 6, 8, 1, 73, 49, 24
E, 30, 31, 23, 4, 9, 5, 102, 42, 60
F, 28, 16, 6, 1, 9, 6, 66, 26, 40
G, 39, 26, 7, 2, 2, 76, 1, 44, 31
Total, 232, 1, 114, 80, 4, 3, 39, 27, 500, 4, 260, 236
