problem, AC, PE, WA, TLE, MLE, OLE, RE, CE, TR, Total , C, C++, Java
A, 46, 58, 51, 14, 14, 183, 6, 115, 62
B, 53, 1, 15, 20, 4, 8, 101, 6, 42, 53
C, 44, 13, 18, 1, 6, 1, 2, 85, 14, 23, 48
D, 55, 8, 42, 6, 22, 11, 144, 12, 67, 65
E, 43, 38, 46, 4, 66, 21, 9, 227, 1, 83, 143
F, 68, 22, 59, 11, 1, 16, 9, 186, 119, 67
G, 65, 60, 32, 15, 7, 179, 3, 98, 78
Total, 374, 1, 214, 268, 16, 79, 93, 60, 1105, 42, 547, 516
