problem, AC, PE, WA, TLE, MLE, OLE, RE, CE, TR, Total , C, C++, Java
A, 42, 3, 7, 5, 57, 39, 18
B, 30, 11, 3, 3, 47, 26, 21
C, 50, 42, 22, 2, 4, 23, 7, 150, 96, 54
D, 37, 52, 24, 11, 8, 132, 57, 75
E, 32, 14, 9, 5, 3, 63, 2, 30, 31
F, 76, 81, 32, 1, 50, 6, 246, 129, 117
G, 44, 72, 27, 3, 1, 28, 6, 1, 182, 74, 108
Total, 311, 275, 121, 5, 6, 125, 33, 1, 877, 2, 451, 424
