problem, AC, PE, WA, TLE, MLE, OLE, RE, CE, TR, Total , C, C++, Java
A, 268, 72, 640, 332, 1, 5, 90, 113, 1521, 33, 227, 1261
B, 277, 3, 342, 314, 10, 26, 82, 136, 1190, 26, 251, 913
C, 240, 11, 609, 14, 1, 34, 59, 968, 16, 194, 758
D, 247, 81, 188, 2, 34, 46, 598, 10, 118, 470
E, 224, 1, 401, 265, 2, 9, 31, 45, 978, 16, 187, 775
F, 215, 1750, 225, 3, 1, 240, 99, 2533, 30, 573, 1930
Total, 1471, 87, 3823, 1338, 18, 42, 511, 498, 7788, 131, 1550, 6107
